order_id,rest_id,name,description,price,items_id
4.31932E+37,101,Salmon poke in the marinade," Includes coriander (can not be removed) Choose base, vegetables, sauces and crunch",59,5
4.31932E+37,101,Tuna Poke - Recommended!  ,"Choose your base, vegetables and crunchies",59,3
4.31932E+37,101,Disposable Cutlery ,Please choose this item as many times as there are diners in need of disposable cutlery,0,1
4.31932E+37,101,Salmon poke in the marinade," Includes coriander (can not be removed) Choose base, vegetables, sauces and crunch",59,5
4.31932E+37,101,Tofu Roll,"Tofu seasoned with carrots, purple cabbage, beets, shiitake mushrooms, lettuce, crispy shallots, peanuts and aioli curry sauce.  No changes can be made to the dish.",48,11
4.31932E+37,101,Baked Salmon Poke,"Choose your base, vegetables and crunchies",59,6
4.31932E+37,101,Peach Flavored Mineral Water,"0,5",11,15
3.06554E+38,497,Ice Cream 1L,Choose up to 5 flavorsIncludes 8 cones,98,30
3.16908E+38,371,Sweet potato focaccia and pesto,"Slices of sweet potato, pesto, mozzarella",32,10
3.16908E+38,371,Mineral Water,"0,5",12,39
3.16908E+38,371,Pecan Pie,"Crispy dough base stuffed with chopped pecans, honey and maple",34,31
3.16908E+38,371,Mineral Water,"0,5",12,39
3.16908E+38,371,Angry Pepperoni,"Tomato sauce, mozzarella, parmesan, pepperoni, kalamata olives, hot chili, and grated manchego cheese",84,14
1.06699E+38,3,Fanta (can),"0,33",12,53
1.06699E+38,3,Schnitzel ,With a Small Salad and a Side Dish of your Choice,56,36
1.06699E+38,3,Malty Root Beer,"0,33",12,55
1.06699E+38,3,Portobello ,With a Small Salad and a Side Dish of your Choice,56,38
1.06699E+38,3,Malty Root Beer,"0,33",12,55
8.53021E+37,807,Sprite Zero ,"0,33",14,76
8.53021E+37,807,Tamago Sando Chi,"Tamago, Shiitake Mushrooms, Mozzarella in Tempura (Not Recommended for Delivery)",68,52
3.18398E+38,771,Coca-Cola (glass bottle),"0,33",13,37
3.18398E+38,771,protein,"Tomato sauce, parmesan, refined feta cheese, lemon tuna, two egg yolks and chives",80,12
3.18398E+38,771,Borta,"Tomato sauce, borta shreds, roasted pepper, parmesan and arugula",68,9
3.18398E+38,771,Ferrarelle Sparkling Water - Large bottle,"0,7",18,42
9.65724E+37,355,Jasmine rice,Personalized rice dish,12,9
9.65724E+37,355,BEEF PAD THAI,"Rice noodles, sirloin, egg, sprouts, carrots, cabbage, green onions, coriander, peanuts and a slice of lemon, in a sweet and sour sauce",60,14
9.65724E+37,355,Tom Yam Soup,"Based on coconut cream, mushrooms, purple onions, sprouts, green onions and coriander",31,5
9.65724E+37,355,Chicken Wings ,7 Wings in a Sauce of Choice,28,3
1.49118E+37,672,Kebab Kebab Kebab,"White tahini, jalok salad and herbs",46,12
1.49118E+37,672,Leaves and pears,"Mix leaves, purple onion, pears in red wine, basil vinaigrette and blue cheese",56,8
1.49118E+37,672,Coca-Cola (can),"0,33",12,16
2.91891E+38,678,Prosciutto Pizza,"artichoke paste, prosciutto, mozzarella and spinach",58,7
2.91891E+38,678,Warm Entrecote Roastbeef Sandwich ,"Spicy Chipotle aioli, Fried onion, Pickles and Arugula",58,16
3.17897E+38,674,Salad from the root,"Beets, carrots, coriander, mint, scallions, roasted peanuts, sesame seeds in ponzo sauce",36,6
3.17897E+38,674,Salmon tartare,"Cucumber, beetroot, avocado, wakame seaweed, baby leaves, lettuce, almonds, mint, coriander, pineapple seasoned with ponzo spicy",51,7
3.17897E+38,674,Chopsticks ,please choose this item as many times as necessary,0,2
5.49134E+37,675,Cola Zero,"0,33",12,15
5.49134E+37,675,Fuze Tea - Peach,"0,33",12,16
5.49134E+37,675,Borsao Grenache | Spain,"0,75",60,31
7.60574E+37,709,Grape Juice - Bottle,"0,33",10,23
7.60574E+37,709,Mineral Water Big,"1,5",10,26
7.60574E+37,709,Greek Pizza,"Italian dough, tomato sauce, 100% mozzarella cheese, Bulgarian cheese, black olives and hot pepper",68,5
7.60574E+37,709,Cola Zero (glass bottle),"0,33",10,12
7.60574E+37,709,Fanta (a can),"0,33",8,16
7.60574E+37,709,Mineral Water Big,"1,5",10,26
7.60574E+37,709,Cola Zero (glass bottle),"0,33",10,12
7.60574E+37,709,Grape Juice - Bottle,"0,33",10,23
7.60574E+37,709,Two family pizzas + extra per tray + 1.5 liters,"Italian dough, tomato sauce, 100% mozzarella cheese. With an optional extra and a 1.5 liter drinking bottle",99,1
2.26274E+38,740,Fanta (can),"0,33",12,4
2.26274E+38,740,Mineral Water (Neviot),"0,5",12,7
2.26274E+38,740,Fanta (can),"0,33",12,4
2.26274E+38,740,Fanta (can),"0,33",12,4
2.26274E+38,740,Coca-Cola (can),"0,33",12,2
2.26274E+38,740,Fanta (can),"0,33",12,4
2.26274E+38,740,Mineral Water (Neviot),"0,5",12,7
2.26274E+38,740,Mineral Water (Neviot),"0,5",12,7
2.26274E+38,740,Fanta (can),"0,33",12,4
2.26274E+38,740,Neapolitan margarita,"Tomatoes, parmesan, mozzarella, basil and olive oil",49,1
2.26274E+38,740,Sprite (can),"0,33",12,5
