order_id,rest_id,customer_id,datetime_placed,datetime_received,total_price
4.31932E+37,101,1,2022-05-30,2022-05-30,295
3.06554E+38,497,1,2022-05-19,2022-05-19,98
3.16908E+38,371,1,2022-05-02,2022-05-02,174
1.06699E+38,3,1,2022-05-15,2022-05-15,148
8.53021E+37,807,1,2022-05-28,2022-05-28,82
3.18398E+38,771,1,2022-05-13,2022-05-13,179
9.65724E+37,355,1,2022-05-31,2022-05-31,131
1.49118E+37,672,1,2022-05-27,2022-05-27,114
2.91891E+38,678,2,2022-05-22,2022-05-22,116
3.17897E+38,674,2,2022-05-06,2022-05-06,87
5.49134E+37,675,2,2022-05-16,2022-05-16,84
7.60574E+37,709,2,2022-05-07,2022-05-07,235
2.26274E+38,740,2,2022-05-02,2022-05-02,169
2.37118E+37,360,2,2022-05-13,2022-05-13,130
8.6534E+37,720,2,2022-05-25,2022-05-25,161
1.48389E+38,344,2,2022-05-05,2022-05-05,283
5.4007E+37,795,3,2022-05-31,2022-05-31,113
3.09793E+38,98,3,2022-05-08,2022-05-08,98
1.27124E+38,231,3,2022-05-28,2022-05-28,150
7.34552E+36,359,3,2022-05-09,2022-05-09,173
3.30894E+37,807,3,2022-05-24,2022-05-24,168
2.12853E+38,767,3,2022-05-23,2022-05-23,178
1.56719E+38,738,3,2022-05-27,2022-05-27,131
3.35203E+38,527,4,2022-05-27,2022-05-27,149
3.31776E+38,69,5,2022-05-27,2022-05-27,73
1.03021E+38,605,5,2022-05-16,2022-05-16,53
2.98057E+38,133,5,2022-05-31,2022-05-31,140
2.64615E+38,309,5,2022-05-06,2022-05-06,182
1.39113E+38,527,5,2022-05-16,2022-05-16,88
1.21184E+38,793,6,2022-05-29,2022-05-29,92
6.55458E+37,409,6,2022-05-16,2022-05-16,204
1.5341E+38,493,6,2022-05-18,2022-05-18,69
1.11816E+38,550,6,2022-05-14,2022-05-14,80
2.85407E+38,687,7,2022-05-26,2022-05-26,79
3.28484E+38,254,7,2022-05-01,2022-05-01,166
1.89435E+38,684,7,2022-05-05,2022-05-05,54
2.22244E+38,101,7,2022-05-01,2022-05-01,125
1.98197E+38,155,7,2022-05-27,2022-05-27,153
1.10604E+37,520,7,2022-05-06,2022-05-06,100
3.06796E+38,328,7,2022-05-21,2022-05-21,89
3.32896E+38,32,7,2022-05-25,2022-05-25,154
1.34377E+38,9,7,2022-05-26,2022-05-26,156
7.24121E+37,778,7,2022-05-27,2022-05-27,92
9.91925E+37,603,7,2022-05-18,2022-05-18,194
3.23077E+38,643,8,2022-05-04,2022-05-04,75
3.12853E+38,218,8,2022-05-22,2022-05-22,206
7.87372E+37,60,8,2022-05-29,2022-05-29,86
8.55277E+37,679,8,2022-05-28,2022-05-28,90
1.5794E+38,705,8,2022-05-29,2022-05-29,56
3.23937E+38,307,8,2022-05-01,2022-05-01,68
1.03877E+38,370,8,2022-05-14,2022-05-14,143
3.37287E+38,540,8,2022-05-27,2022-05-27,88
2.38418E+38,278,8,2022-05-02,2022-05-02,64
2.73307E+38,791,8,2022-05-26,2022-05-26,298
2.058E+37,340,9,2022-05-12,2022-05-12,83
2.35105E+38,522,9,2022-05-07,2022-05-07,126
1.67013E+37,432,9,2022-05-31,2022-05-31,56
1.75446E+38,237,9,2022-05-12,2022-05-12,73
6.46553E+37,379,9,2022-05-11,2022-05-11,136
1.10885E+38,370,10,2022-05-06,2022-05-06,220
1.3408E+38,376,10,2022-05-01,2022-05-01,71
3.97464E+37,184,11,2022-05-24,2022-05-24,192
1.88602E+38,18,12,2022-05-06,2022-05-06,86
2.33005E+38,691,12,2022-05-28,2022-05-28,134
6.15266E+37,226,12,2022-05-14,2022-05-14,117
3.1649E+38,724,12,2022-05-09,2022-05-09,117
1.51847E+38,208,12,2022-05-08,2022-05-08,140
2.98861E+37,513,13,2022-05-11,2022-05-11,126
9.47347E+37,500,13,2022-05-02,2022-05-02,100
1.66496E+38,299,13,2022-05-11,2022-05-11,91
5.05616E+36,281,13,2022-05-15,2022-05-15,100
3.18697E+36,650,13,2022-05-17,2022-05-17,51
2.19048E+38,192,14,2022-05-02,2022-05-02,144
1.64179E+38,716,14,2022-05-11,2022-05-11,407
6.46637E+37,741,14,2022-05-04,2022-05-04,112
2.70813E+38,823,15,2022-05-11,2022-05-11,68
1.61477E+38,265,15,2022-05-26,2022-05-26,234
3.38673E+38,555,15,2022-05-07,2022-05-07,66
2.78394E+37,600,15,2022-05-24,2022-05-24,96
3.1765E+38,342,15,2022-05-09,2022-05-09,258
1.66985E+38,643,16,2022-05-28,2022-05-28,124
3.18995E+38,623,16,2022-05-20,2022-05-20,123
1.32025E+38,64,16,2022-05-31,2022-05-31,311
3.09638E+38,474,16,2022-05-01,2022-05-01,183
3.17898E+38,720,16,2022-05-05,2022-05-05,149
9.65106E+37,242,16,2022-05-12,2022-05-12,256
1.94753E+38,327,16,2022-05-19,2022-05-19,144
2.02416E+38,406,16,2022-05-08,2022-05-08,134
3.27383E+38,671,16,2022-05-29,2022-05-29,54
3.47886E+37,356,16,2022-05-20,2022-05-20,234
1.07698E+38,161,17,2022-05-16,2022-05-16,170
1.99623E+38,431,17,2022-05-21,2022-05-21,191
2.28743E+38,784,17,2022-05-16,2022-05-16,148
3.13413E+38,37,17,2022-05-09,2022-05-09,217
2.21625E+38,657,17,2022-05-22,2022-05-22,148
7.29333E+37,526,17,2022-05-01,2022-05-01,75
2.2834E+38,672,17,2022-05-13,2022-05-13,130
6.57121E+35,771,17,2022-05-28,2022-05-28,178
2.64621E+38,788,18,2022-05-05,2022-05-05,321
3.11616E+38,289,18,2022-05-10,2022-05-10,60
2.25402E+38,606,18,2022-05-27,2022-05-27,70
3.32786E+38,402,18,2022-05-25,2022-05-25,93
2.42262E+38,679,18,2022-05-20,2022-05-20,168
3.4777E+37,692,18,2022-05-27,2022-05-27,120
3.36548E+37,310,18,2022-05-15,2022-05-15,94
1.27467E+38,827,18,2022-05-23,2022-05-23,72
2.99903E+38,349,18,2022-05-10,2022-05-10,77
2.17781E+38,760,18,2022-05-27,2022-05-27,222
2.85612E+38,431,18,2022-05-15,2022-05-15,138
2.92922E+38,754,18,2022-05-08,2022-05-08,232
3.05023E+38,520,19,2022-05-22,2022-05-22,258
2.14422E+38,406,19,2022-05-03,2022-05-03,140
2.78457E+38,262,19,2022-05-16,2022-05-16,90
5.20215E+37,681,19,2022-05-21,2022-05-21,78
1.85595E+38,242,19,2022-05-04,2022-05-04,88
1.18094E+38,91,19,2022-05-16,2022-05-16,170
1.39513E+38,533,19,2022-05-09,2022-05-09,76
9.65313E+37,408,19,2022-05-22,2022-05-22,134
4.86267E+37,748,19,2022-05-21,2022-05-21,96
6.02969E+37,139,19,2022-05-12,2022-05-12,145
2.54583E+38,730,19,2022-05-25,2022-05-25,101
7.11815E+37,679,19,2022-05-05,2022-05-05,329
2.25547E+38,536,20,2022-05-03,2022-05-03,187
2.57606E+38,818,20,2022-05-19,2022-05-19,55
1.26747E+37,242,20,2022-05-17,2022-05-17,75
2.97964E+37,776,20,2022-05-17,2022-05-17,162
3.70681E+37,60,20,2022-05-12,2022-05-12,98
4.8137E+37,484,20,2022-05-17,2022-05-17,186
3.74254E+37,586,21,2022-05-21,2022-05-21,127
3.02418E+38,428,22,2022-05-11,2022-05-11,145
3.05815E+38,161,22,2022-05-09,2022-05-09,89
2.57235E+38,238,22,2022-05-01,2022-05-01,155
1.3975E+38,349,22,2022-05-24,2022-05-24,108
2.70144E+38,422,22,2022-05-11,2022-05-11,75
2.97993E+38,473,22,2022-05-25,2022-05-25,192
3.04267E+38,342,22,2022-05-27,2022-05-27,97
1.01375E+38,416,22,2022-05-23,2022-05-23,120
3.05844E+38,429,22,2022-05-17,2022-05-17,54
2.55981E+38,471,22,2022-05-14,2022-05-14,109
1.28447E+38,311,23,2022-05-27,2022-05-27,174
1.9117E+38,225,23,2022-05-04,2022-05-04,192
2.07454E+38,696,23,2022-05-14,2022-05-14,249
4.16702E+37,736,23,2022-05-18,2022-05-18,173
3.40111E+38,400,23,2022-05-15,2022-05-15,77
1.26878E+38,825,23,2022-05-12,2022-05-12,184
9.06795E+37,426,24,2022-05-13,2022-05-13,121
1.68747E+38,91,24,2022-05-10,2022-05-10,132
9.14389E+37,541,24,2022-05-30,2022-05-30,74
2.70127E+38,184,24,2022-05-18,2022-05-18,64
2.37616E+36,421,24,2022-05-19,2022-05-19,308
3.0855E+38,399,24,2022-05-03,2022-05-03,115
1.8629E+38,133,25,2022-05-20,2022-05-20,88
2.90899E+38,72,25,2022-05-22,2022-05-22,150
2.4782E+38,68,26,2022-05-09,2022-05-09,75
1.83691E+37,724,26,2022-05-17,2022-05-17,110
2.72172E+38,278,26,2022-05-20,2022-05-20,166
2.6876E+38,161,26,2022-05-29,2022-05-29,68
2.20853E+38,365,27,2022-05-06,2022-05-06,52
1.57667E+38,737,27,2022-05-16,2022-05-16,193
1.97787E+38,559,28,2022-05-11,2022-05-11,171
1.10829E+38,283,28,2022-05-03,2022-05-03,130
1.02109E+38,536,28,2022-05-05,2022-05-05,132
1.83895E+38,375,28,2022-05-15,2022-05-15,82
5.56453E+37,503,28,2022-05-10,2022-05-10,215
3.44353E+37,374,28,2022-05-14,2022-05-14,98
2.36933E+38,571,28,2022-05-11,2022-05-11,66
3.00427E+38,650,28,2022-05-23,2022-05-23,112
1.75625E+38,422,28,2022-05-03,2022-05-03,155
3.15521E+38,314,28,2022-05-05,2022-05-05,125
8.32087E+37,237,28,2022-05-30,2022-05-30,102
2.93612E+38,764,28,2022-05-31,2022-05-31,112
1.28169E+37,498,28,2022-05-27,2022-05-27,50
3.22187E+38,77,28,2022-05-30,2022-05-30,154
1.73461E+38,820,29,2022-05-30,2022-05-30,238
1.53599E+38,693,29,2022-05-13,2022-05-13,175
2.99365E+37,408,30,2022-05-20,2022-05-20,148
3.12605E+38,553,30,2022-05-15,2022-05-15,124
2.70547E+38,437,30,2022-05-16,2022-05-16,264
9.673E+37,505,30,2022-05-09,2022-05-09,124
2.3771E+38,426,30,2022-05-18,2022-05-18,178
7.65253E+37,594,30,2022-05-08,2022-05-08,101
