rest_id,name,address,rate,latitude,longitude,street food,mediterranean,homemade,italian,pasta,burger,mexican,salad,vegan,vegetarian,wraps,kosher,breakfast,sandwich,soup,french,hummus,dessert,bakery,sweets,steak,pizza,asian,meat,ice cream,smoothie,cafe,healthy,american,indian,fish,thai,kebab,sushi,japanese,bowl,kids
1,Sabich Complete - Yomtov,"Shlomo Ibn Gvirol 99 Tel Aviv, Tel-Aviv",8.2,32.0858869,34.7816528,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PASTA VIA | Ibn Gabirol,"Ibn Gvirol 142, Tel-Aviv",8.8,32.088744,34.7827316,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Karnaf | Ibn Gvirol,"Ibn Gvirol 164, Tel-Aviv",8,32.0907065,34.7830492,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Chawarma,"In which Shalom Sat 3, Ramat Gain, Tel-Aviv",8.8,32.068424,34.824785,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Under The Tree,"202 Ben Yehuda, Tel-Aviv",8.6,32.0901144,34.7741419,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,I Love Sandwich,"Brenner 2, Tel Aviv, Tel-Aviv",9.4,32.0691502,34.7709009,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,JARS & BOWLS,"Ibn Gvirol 129, Tel-Aviv",8.6,32.0887191,34.7822646,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Doron's Jachnun | Tel Aviv,"Malachi Israel 10, Tel-Aviv",8.8,32.092871,34.777187,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Yanas Hummus Restaurant,"Frishman 88, Tel-Aviv",8.8,32.0792213,34.7793749,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Hummus Asli,"Dizengoff 338 Tel Aviv-Jaffa, Tel-Aviv",7.8,32.0968373,34.7760788,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Abulafia | TLV Port,"Exhibition 3, Tel-Aviv",8.2,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,BRETONNE | Ibn Gabirol,"Ibn Gvirol 52, Tel-Aviv",8.6,32.0777322,34.7814976,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Hummus Abu Dubi,"King George 81, Tel-Aviv",7.8,32.0759729,34.7764908,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bourekas Amikam,"Ibn Gvirol 21, Tel Aviv, Tel-Aviv",8,32.073501,34.7816584,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Mabali,"Herzl 75 Ramat Gan, Tel-Aviv",9.4,32.0870583,34.8148082,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,HaMalabiya | Ibn Gabirol,"Ibn Gvirol 39 Tel Aviv, Tel-Aviv",8.8,32.076086,34.7813507,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
